City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,blackmans bay,-43.0167,147.3167,21.52,54,100,2.24,AU,1701656695
82,kingston,17.997,-76.7936,27.53,83,20,1.54,JM,1701656648
83,vredendal,-31.6683,18.5012,14.07,82,3,3.61,ZA,1701656695
84,bredasdorp,-34.5322,20.0403,14.28,84,7,2.7,ZA,1701656695
85,nova sintra,14.8667,-24.7167,22.71,78,91,7.82,CV,1701656695
86,adamstown,-25.066,-130.1015,22.8,81,100,5.04,PN,1701656696
87,anadyr,64.75,177.4833,-21.67,83,20,3.0,RU,1701656696
88,geraldton,-28.7667,114.6,29.23,42,0,5.14,AU,1701656696
89,komatipoort,-25.4332,31.9548,18.92,88,68,1.12,ZA,1701656696
90,sinop,41.7711,34.8709,10.88,64,100,2.9,TR,1701656696
91,vadso,70.0744,29.7487,-3.91,86,100,3.6,NO,1701656696
92,camana,-16.6228,-72.7111,19.51,77,58,2.6,PE,1701656696
93,glennville,31.9366,-81.9285,19.83,99,100,1.76,US,1701656696
94,fisterra,42.9049,-9.2629,13.9,80,4,12.13,ES,1701656697
95,saint-francois,46.4154,3.9054,3.69,76,0,1.54,FR,1701656697
96,ulsteinvik,62.3432,5.8487,-0.94,74,74,3.13,NO,1701656697
97,badger,64.8,-147.5333,-19.8,74,40,0.0,US,1701656697
98,rurrenabaque,-14.4413,-67.5278,25.44,81,100,0.09,BO,1701656697
99,luwuk,-0.9516,122.7875,30.53,66,20,1.81,ID,1701656697
100,saacow,1.6279,42.4407,24.72,85,18,4.45,SO,1701656697
101,soio,-6.1349,12.3689,26.04,78,81,2.04,AO,1701656697
102,tymovskoye,50.8456,142.655,-6.38,82,100,4.79,RU,1701656697
103,namibe,-15.1961,12.1522,22.56,88,100,1.71,AO,1701656698
104,haiku-pauwela,20.9219,-156.3051,26.2,77,40,8.75,US,1701656698
105,mulanje,-16.0316,35.5,17.91,74,0,1.01,MW,1701656698
106,howrah,22.5892,88.3103,22.0,78,75,0.0,IN,1701656698
107,dokshytsy,54.8924,27.7689,-14.75,100,96,2.14,BY,1701656698
108,qala i naw,34.9874,63.1289,9.66,26,0,2.03,AF,1701656698
109,tannum sands,-23.9504,151.3693,33.19,70,1,5.66,AU,1701656698
110,weno,7.4515,151.8468,30.97,74,100,3.6,FM,1701656698
111,faxinal,-24.0003,-51.3194,19.08,96,100,1.45,BR,1701656699
112,esil,51.9556,66.4042,-9.18,92,95,1.43,KZ,1701656699
113,bantay,17.5847,120.3892,31.09,87,83,0.29,PH,1701656699
114,yuzhno-kurilsk,44.0306,145.8556,4.1,68,33,4.65,RU,1701656699
115,devils lake,48.1128,-98.8651,-6.94,93,0,2.57,US,1701656699
116,kruisfontein,-34.0033,24.7314,12.16,88,100,2.09,ZA,1701656699
117,port elizabeth,-33.918,25.5701,15.17,84,0,2.57,ZA,1701656699
118,utrik,11.2278,169.8474,27.3,74,98,8.71,MH,1701656699
119,awjilah,29.1081,21.2869,15.55,40,66,3.15,LY,1701656700
120,plastun,44.7561,136.2939,0.53,38,8,1.6,RU,1701656700
121,papao,-17.75,-149.55,31.82,83,100,10.85,PF,1701656700
122,es castell,39.8795,4.2854,14.38,67,75,5.66,ES,1701656700
123,dombarovskiy,50.7587,59.5386,-1.11,84,100,10.28,RU,1701656700
124,pitimbu,-7.4706,-34.8086,27.33,83,40,4.2,BR,1701656700
125,vilhena,-12.7406,-60.1458,21.6,93,58,1.7,BR,1701656700
126,morehead city,34.7229,-76.726,18.9,87,0,4.63,US,1701656526
127,papatowai,-46.5619,169.4708,12.66,50,19,6.38,NZ,1701656701
128,puerto aysen,-45.4,-72.7,6.93,99,99,1.56,CL,1701656701
129,fresnillo,23.1667,-102.8833,10.75,48,100,1.88,MX,1701656701
130,port saint john's,-31.6229,29.5448,19.99,90,25,1.22,ZA,1701656701
131,quellon,-43.1167,-73.6167,7.82,91,5,4.16,CL,1701656701
132,tortoli,39.9256,9.6572,8.9,31,0,8.23,IT,1701656701
